num,freq,baud,location,time,demod,demodrate,inforate,isdiff,isDAOPU,isTDMA,codeType,frameLen,poly,transport
55,19155.99707,41.668,04N2K1,2016/1/4 6:55,8PSK,26451.512,0,N,N,unknow,unknow,NA,unknow,unknow
76,19626.47883,64.349,04B6K2,2016/1/9 20:36,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
114,12193.32715,29.102,04N2K1,2016/1/7 11:01,8PSK,91.339,0,N,N,unknow,unknow,NA,unknow,NA
193,19504.99414,20.021,04B6K2,2016/1/9 20:36,BPSK,282.614,141000,N,N,unknow,NSC,NA,V35,unknow
250,18976.91309,1350.599,04N2K1,2016/1/7 11:01,BPSK,1212.212,606000,N,N,unknow,NSC,NA,V35,unknow
295,19457.30273,29.029,04B6K2,2016/1/9 20:36,BPSK,13.391,6000,N,N,unknow,NSC,NA,V35,NA
426,11570.23523,2128.824,04B6K2,2016/1/10 23:09,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
457,20510.81686,299.915,04N2K1,2016/1/7 11:01,8PSK,100.18,0,N,N,unknow,unknow,NA,unknow,NA
495,19480.00195,22.583,04N2K1,2016/1/7 11:01,unknow,0,0,unknow,unknow,Y,unknow,NA,unknow,unknow
538,19456.89844,57.383,04N2K1,2016/1/7 11:01,unknow,0,0,unknow,unknow,Y,unknow,NA,unknow,NA
547,19534.77344,161.512,04N2K1,2016/1/7 4:02,BPSK,90.437,0,N,N,unknow,unknow,NA,unknow,NA
581,20560.10254,48.518,04B6K2,2016/1/9 20:36,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,NA
623,20595.09695,742.194,04N2K1,2016/1/1 21:48,8PSK,336.585,0,N,N,unknow,unknow,NA,unknow,unknow
624,20450.26074,429.789,04N2K1,2016/2/5 4:13,8PSK,391.208,0,N,N,unknow,unknow,NA,unknow,unknow
630,19439.00781,39.785,04N2K1,2016/1/1 0:52,QPSK,28.57,0,N,N,unknow,unknow,NA,unknow,unknow
633,12061.86499,981.023,04N2K1,2016/2/2 4:43,QPSK,1003.142,1472000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
668,19540.24414,510.004,04B6K2,2016/1/9 20:36,BPSK,791.332,0,N,N,unknow,unknow,NA,unknow,unknow
681,19533.34097,109.146,04N2K1,2016/1/7 11:01,QPSK,135.655,0,N,N,unknow,unknow,NA,unknow,NA
790,20594.97656,1741.876,04B6K2,2016/1/9 20:36,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
806,19155.99609,37.773,04N2K1,2016/1/7 5:19,8PSK,26451.512,0,N,N,unknow,unknow,NA,unknow,unknow
824,11909.87866,174.905,04N2K1,2016/1/19 13:46,BPSK,178.653,0,N,N,unknow,unknow,NA,unknow,unknow
853,11716.99341,73.499,04N2K1,2016/1/14 4:00,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,NA
914,20526.20606,629.316,04N2K1,2016/2/5 11:42,8PSK,536.796,0,N,N,unknow,unknow,NA,unknow,NA
946,19490.50879,325.066,04B6K2,2016/1/9 20:36,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
953,11545.49086,347.369,04B6K2,2016/1/10 23:09,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
1107,11743.80347,2438.157,04N2K1,2016/1/7 11:01,QPSK,2586.254,4525000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
1118,11761.72778,146.691,04N2K1,2016/1/7 11:01,QPSK,153.599,192000,Y,N,unknow,NSC,NA,IBS,unknow
1119,11761.93213,144.274,04N2K1,2016/1/7 11:01,QPSK,153.601,192000,Y,N,unknow,NSC,NA,IBS,unknow
1148,11582.36426,1695.618,04N2K1,2016/1/18 17:07,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,NA
1150,11712.22949,1252.808,04N2K1,2016/2/2 12:32,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
1171,11813.97437,5806.252,04N2K1,2016/1/7 10:42,8QAM,6143.955,0,unknow,unknow,unknow,LDPC,16416,unknow,unknow
1172,11822.15381,212.257,04N2K1,2016/1/7 11:01,QPSK,218.073,320000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
1208,11965.87524,1524.927,04N2K1,2016/1/7 11:01,8PSK,1592.878,0,N,N,unknow,unknow,NA,unknow,unknow
1209,11967.39893,515.188,04N2K1,2016/1/7 11:01,8PSK,523.376,0,N,N,unknow,unknow,NA,unknow,unknow
1210,11970.78833,1479.619,04N2K1,2016/1/6 19:06,QPSK,1592.879,0,N,N,unknow,unknow,NA,unknow,unknow
1219,11999.68701,2778.68,04N2K1,2016/1/7 10:43,QPSK,3096.987,0,N,N,unknow,LDPC,16512,unknow,unknow
1224,12015.1958,1567.162,04N2K1,2016/1/7 7:54,QPSK,1592.877,0,N,N,unknow,unknow,NA,unknow,unknow
1225,12016.63892,700.304,04N2K1,2016/1/7 11:01,8PSK,715.723,0,N,N,unknow,unknow,NA,unknow,unknow
1269,11584.00366,143.826,04N2K1,2016/2/2 12:32,unknow,0,0,unknow,unknow,unknow,unknow,NA,unknow,NA
1282,19076.35156,844.144,04N2K1,2016/1/7 11:01,BPSK,955.991,0,N,N,unknow,unknow,NA,unknow,unknow
1288,11921.64845,169.888,04N2K1,2016/1/27 13:42,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,NA
1333,12061.88818,925.614,04N2K1,2016/2/2 12:32,QPSK,1003.136,1472000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
1459,11822.4126,138.107,04N2K1,2016/1/7 11:01,8QAM,127.998,0,N,N,unknow,LDPC,16512,unknow,unknow
1499,11921.64845,169.888,04N2K1,2016/2/2 12:32,unknow,0,0,unknow,unknow,unknow,unknow,NA,unknow,NA
